Quarter,SalesRep,Region,Product,Discount,Units,Cost,Price,Order Sales,Profit
Q4 41961,Jenny  Garcia,MidWest,Quad,0,2,27.00,34.00,68.00,14.00
Q4 41609,Blake  Bridges,South,Bellen,0.01,2,11.37,22.95,45.44,22.70
Q4 41638,Max  Rodgers,West,Majectic Beaut,0.02,2,13.00,30.00,59.10,33.10
Q4 41602,Max  Rodgers,West,Bellen,0.03,3,11.37,22.95,67.13,33.02
Q4 41629,Lorraine  Gibson,East,Quad,0,2,27.00,34.00,68.00,14.00
Q4 41962,Sonya  Mullins,East,Majectic Beaut,0.02,3,13.00,30.00,88.20,49.20
Q4 41950,Bernadette  Page,MidWest,Bellen,0.02,1,11.37,22.95,22.61,11.24
Q3 41546,Sylvester  Morales,West,Majectic Beaut,0,2,13.00,30.00,60.00,34.00
Q4 41603,Trevor  Jones,West,Carlota,0.01,1,10.25,22.95,22.72,12.47
Q2 41447,Pauline  Beck,West,Sunbell,0.02,2,12.42,25.00,49.25,24.41
Q4 41969,Sylvester  Morales,West,Sunbell,0.02,3,12.42,25.00,73.88,36.62
Q4 41957,Arturo  Francis,East,Aspen,0.03,2,12.00,21.00,40.95,16.95
Q4 41990,Ruben  Nunez,West,Bellen,0.02,2,11.37,22.95,44.98,22.24
Q2 41814,Arturo  Francis,East,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 41604,Austin  Reynolds,East,Carlota,0.03,1,10.25,22.95,22.26,12.01
Q4 41979,Tiffany  May,West,V-Rang,0.02,2,10.23,19.00,37.24,16.78
Q4 41959,Elbert  Klein,South,Sunbell,0,2,12.42,25.00,50.00,25.16
Q3 41823,Trevor  Jones,West,Bellen,0.01,1,11.37,22.95,22.72,11.35
Q3 41481,Shari  Silva,South,Sunset,0.03,2,13.50,23.50,45.83,18.83
Q4 41632,Arturo  Francis,East,Aspen,0.02,1,12.00,21.00,20.69,8.69
Q3 41511,Della  Jensen,East,Doublers,0,1,64.32,79.95,79.95,15.63
Q4 41973,Tiffany  May,West,Sunshine,0.03,1,10.24,19.95,19.35,9.11
Q1 41328,Tiffany  May,West,V-Rang,0.03,3,10.23,19.00,55.29,24.60
Q3 41877,Isabel  Cross,East,Aspen,0.03,1,12.00,21.00,20.48,8.48
Q4 41988,Nellie  Joseph,East,Quad,0.02,2,27.00,34.00,66.98,12.98
Q4 41999,Isabel  Cross,East,Aspen,0,2,12.00,21.00,42.00,18.00
Q4 41964,Lynette  Brewer,MidWest,V-Rang,0,1,10.23,19.00,19.00,8.77
Q4 41612,Robert  Munoz,MidWest,Majectic Beaut,0.03,1,13.00,30.00,29.10,16.10
Q1 41687,Woodrow  Colon,South,Majectic Beaut,0,2,13.00,30.00,60.00,34.00
Q4 41974,Jenny  Garcia,MidWest,Sunshine,0.02,3,10.24,19.95,58.65,27.93
Q4 41628,Salvador  Bass,West,Sunbell,0,2,12.42,25.00,50.00,25.16
Q4 41976,Beth  Tucker,West,Bellen,0.02,2,11.37,22.95,44.98,22.24
Q3 41534,Lorraine  Gibson,East,Bellen,0.02,2,11.37,22.95,44.98,22.24
Q3 41833,Jenny  Garcia,MidWest,Majectic Beaut,0.03,3,13.00,30.00,87.30,48.30
Q3 41456,Rachel  Gomez,MidWest,Carlota,0,1,10.25,22.95,22.95,12.70
Q4 42001,Rachel  Gomez,MidWest,Aspen,0.02,3,12.00,21.00,62.06,26.06
Q3 41491,Cassandra  Franklin,MidWest,Doublers,0.02,1,64.32,79.95,78.75,14.43
Q4 41616,Billie  Chandler,MidWest,Quad,0,3,27.00,34.00,102.00,21.00
Q4 41956,Lorraine  Gibson,East,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 41956,Arturo  Francis,East,Aspen,0.02,2,12.00,21.00,41.16,17.16
Q4 41633,Lula  Daniels,MidWest,V-Rang,0.03,2,10.23,19.00,37.05,16.59
Q2 41739,Tracy  Reed,MidWest,Bellen,0.01,2,11.37,22.95,45.44,22.70
Q2 41803,Shari  Silva,South,Aspen,0.03,2,12.00,21.00,40.74,16.74
Q2 41447,Lynette  Brewer,MidWest,Carlota,0.02,2,10.25,22.95,45.21,24.71
Q4 41594,Willie  Vega,MidWest,Quad,0,2,27.00,34.00,68.00,14.00
Q4 41951,Max  Rodgers,West,Majectic Beaut,0.02,3,13.00,30.00,88.20,49.20
Q4 41975,Drew  Rogers,MidWest,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 41581,Max  Rodgers,West,Sunbell,0.03,2,12.42,25.00,48.75,23.91
Q4 41991,Fernando  Rowe,West,Sunset,0,2,13.50,23.50,47.00,20.00
Q4 41954,Sandra  Floyd,MidWest,Sunshine,0,3,10.24,19.95,59.85,29.13
Q4 42000,Jaime  Pearson,MidWest,Carlota,0,2,10.25,22.95,45.90,25.40
Q1 41645,Jenny  Garcia,MidWest,V-Rang,0,2,10.23,19.00,38.00,17.54
Q4 41595,Cecilia  Manning,South,Sunset,0.02,4,13.50,23.50,92.12,38.12
Q4 41610,Fernando  Rowe,West,Majectic Beaut,0,1,13.00,30.00,30.00,17.00
Q4 41983,Bernadette  Page,MidWest,Carlota,0.03,2,10.25,22.95,44.52,24.02
Q4 41994,Woodrow  Colon,South,Sunset,0.01,3,13.50,23.50,69.80,29.30
Q4 41613,Brooke  Horton,MidWest,Sunbell,0.02,2,12.42,25.00,49.25,24.41
Q3 41844,Brooke  Horton,MidWest,Carlota,0.02,2,10.25,22.95,45.21,24.71
Q2 41433,Patty  Thompson,West,Quad,0.01,2,27.00,34.00,67.32,13.32
Q4 41612,Guillermo  Potter,MidWest,Bellen,0,3,11.37,22.95,68.85,34.74
Q4 41617,Shari  Silva,South,Carlota,0.02,3,10.25,22.95,67.82,37.07
Q3 41902,Johanna  Boone,South,Quad,0,1,27.00,34.00,34.00,7.00
Q4 41595,Brooke  Horton,MidWest,Carlota,0.02,2,10.25,22.95,44.98,24.48
Q4 41584,Elaine  Ellis,South,Sunbell,0.02,4,12.42,25.00,98.50,48.82
Q4 41622,Andrew  Meyer,West,Bellen,0.03,2,11.37,22.95,44.75,22.01
Q1 41294,Christina  Fuller,West,Sunbell,0,3,12.42,25.00,75.00,37.74
Q4 41999,Guillermo  Potter,MidWest,Bellen,0.01,4,11.37,22.95,90.88,45.40
Q4 41625,Salvador  Bass,West,Quad,0.01,2,27.00,34.00,67.32,13.32
Q4 41994,Austin  Reynolds,East,Quad,0,2,27.00,34.00,68.00,14.00
Q3 41478,Kyle  Carr,MidWest,Quad,0,3,27.00,34.00,102.00,21.00
Q4 41988,Peter  Hodges,MidWest,Aspen,0.03,1,12.00,21.00,20.37,8.37
Q4 41591,Cassandra  Franklin,MidWest,Majectic Beaut,0.01,2,13.00,30.00,59.40,33.40
Q4 42003,Bethany  Pena,MidWest,Sunshine,0.01,1,10.24,19.95,19.75,9.51
Q4 41953,Johanna  Boone,South,Carlota,0,1,10.25,22.95,22.95,12.70
Q2 41402,Peter  Hodges,MidWest,Carlota,0.02,2,10.25,22.95,44.98,24.48
Q4 41979,Della  Jensen,East,Sunbell,0.03,2,12.42,25.00,48.50,23.66
Q4 41996,Rachel  Gomez,MidWest,Sunshine,0,3,10.24,19.95,59.85,29.13
Q1 41714,Trevor  Jones,West,Bellen,0.03,2,11.37,22.95,44.52,21.78
Q2 41382,Max  Rodgers,West,Aspen,0.02,2,12.00,21.00,41.16,17.16
Q4 41634,Jenny  Garcia,MidWest,Sunset,0.01,3,13.50,23.50,69.80,29.30
Q4 41969,Lynette  Brewer,MidWest,Sunshine,0.02,2,10.24,19.95,39.30,18.82
Q4 41946,Eric  Rose,West,Sunshine,0.03,2,10.24,19.95,38.70,18.22
Q1 41689,Tiffany  May,West,Quad,0.02,2,27.00,34.00,66.64,12.64
Q2 41759,Ellen  Weaver,South,Carlota,0.03,1,10.25,22.95,22.26,12.01
Q4 41615,Lorraine  Gibson,East,Aspen,0.03,2,12.00,21.00,40.95,16.95
Q4 41605,Brooke  Horton,MidWest,Sunbell,0,2,12.42,25.00,50.00,25.16
Q4 41954,Drew  Rogers,MidWest,Crested Beaut,0.03,3,16.00,25.00,73.13,25.13
Q4 41993,Shari  Silva,South,Quad,0.03,4,27.00,34.00,132.60,24.60
Q4 41617,Mable  Lindsey,West,Doublers,0,3,64.32,79.95,239.85,46.89
Q4 41982,Max  Rodgers,West,Crested Beaut,0.03,1,16.00,25.00,24.38,8.38
Q4 41612,Jenny  Garcia,MidWest,Carlota,0,1,10.25,22.95,22.95,12.70
Q4 41612,Cassandra  Franklin,MidWest,Crested Beaut,0.03,2,16.00,25.00,48.75,16.75
Q4 41629,Mable  Lindsey,West,Doublers,0.03,3,64.32,79.95,232.65,39.69
Q4 41628,Edwin  Malone,East,Sunbell,0.02,1,12.42,25.00,24.63,12.21
Q4 41635,Colleen  Warren,West,Carlota,0,1,10.25,22.95,22.95,12.70
Q4 41923,Kyle  Carr,MidWest,Quad,0.03,3,27.00,34.00,99.45,18.45
Q2 41377,Max  Rodgers,West,FlatTop,0.01,1,17.20,27.50,27.23,10.03
Q4 41996,Ivan  Adkins,West,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 41590,Sylvester  Morales,West,Carlota,0.03,1,10.25,22.95,22.26,12.01
Q4 41983,Isabel  Cross,East,Quad,0.02,2,27.00,34.00,66.98,12.98
Q1 41285,Ruben  Nunez,West,Carlota,0,1,10.25,22.95,22.95,12.70
Q4 41609,Ellen  Weaver,South,Sunbell,0,1,12.42,25.00,25.00,12.58
Q4 41609,Bernadette  Page,MidWest,Doublers,0,3,64.32,79.95,239.85,46.89
Q2 41735,Pauline  Beck,West,Sunshine,0,1,10.24,19.95,19.95,9.71
Q4 41587,Jenny  Garcia,MidWest,Sunset,0,3,13.50,23.50,70.50,30.00
Q4 41634,Allan  Ramos,MidWest,Carlota,0.03,2,10.25,22.95,44.75,24.25
Q4 41583,Christina  Fuller,West,Aspen,0,2,12.00,21.00,42.00,18.00
Q4 41978,Ben  Perez,West,Sunbell,0.01,2,12.42,25.00,49.50,24.66
Q4 41958,Bobbie  Ryan,East,Quad,0,3,27.00,34.00,102.00,21.00
Q4 41587,Drew  Rogers,MidWest,Sunshine,0,1,10.24,19.95,19.95,9.71
Q4 41992,Johanna  Boone,South,Bellen,0.02,2,11.37,22.95,45.21,22.47
Q4 41984,Shari  Silva,South,Carlota,0.02,3,10.25,22.95,67.82,37.07
Q4 41961,Sandra  Floyd,MidWest,Quad,0,3,27.00,34.00,102.00,21.00
Q4 41992,Ernest  Davis,West,Carlota,0,1,10.25,22.95,22.95,12.70
Q4 41981,Willie  Vega,MidWest,Majectic Beaut,0.03,2,13.00,30.00,58.20,32.20
Q4 41983,Christy  Olson,West,Sunshine,0,1,10.24,19.95,19.95,9.71
Q1 41684,Cassandra  Franklin,MidWest,V-Rang,0,2,10.23,19.00,38.00,17.54
Q4 41969,Cassandra  Franklin,MidWest,Carlota,0,2,10.25,22.95,45.90,25.40
Q2 41767,Christina  Fuller,West,Carlota,0.03,1,10.25,22.95,22.26,12.01
Q4 41589,Austin  Reynolds,East,Doublers,0,2,64.32,79.95,159.90,31.26
Q4 42002,Herman  Williams,East,Crested Beaut,0,2,16.00,25.00,50.00,18.00
Q4 41604,Isabel  Cross,East,Sunset,0,2,13.50,23.50,47.00,20.00
Q2 41430,Felicia  Jennings,West,V-Rang,0.03,1,10.23,19.00,18.43,8.20
Q1 41304,Carla  Mccormick,MidWest,Quad,0.01,3,27.00,34.00,100.98,19.98
Q4 41585,Ernest  Davis,West,Bellen,0.02,3,11.37,22.95,67.47,33.36
Q2 41397,Salvador  Bass,West,Bellen,0.02,2,11.37,22.95,44.98,22.24
Q4 41594,Cassandra  Franklin,MidWest,Quad,0.02,3,27.00,34.00,100.47,19.47
Q2 41391,Isabel  Cross,East,Sunset,0.02,1,13.50,23.50,23.03,9.53
Q4 41955,Bobbie  Ryan,East,Sunbell,0,4,12.42,25.00,100.00,50.32
Q4 41620,Felicia  Jennings,West,Sunshine,0,2,10.24,19.95,39.90,19.42
Q1 41282,Arturo  Francis,East,Quad,0.03,3,27.00,34.00,98.94,17.94
Q4 41964,Ruben  Nunez,West,Bellen,0.02,3,11.37,22.95,67.47,33.36
Q3 41873,Lynette  Brewer,MidWest,Sunshine,0.01,2,10.24,19.95,39.50,19.02
Q4 42004,Billie  Chandler,MidWest,FlatTop,0,2,17.20,27.50,55.00,20.60
Q3 41458,Johanna  Boone,South,Majectic Beaut,0.03,3,13.00,30.00,87.75,48.75
Q4 41598,Arturo  Francis,East,Sunshine,0.03,2,10.24,19.95,38.70,18.22
Q3 41538,Shari  Silva,South,Sunset,0.02,2,13.50,23.50,46.06,19.06
Q3 41884,Guillermo  Potter,MidWest,Sunbell,0.02,2,12.42,25.00,49.25,24.41
Q1 41674,Cassandra  Franklin,MidWest,FlatTop,0,4,17.20,27.50,110.00,41.20
Q4 41600,Billie  Chandler,MidWest,Bellen,0.03,2,11.37,22.95,44.75,22.01
Q4 41596,Brooke  Horton,MidWest,Carlota,0.01,1,10.25,22.95,22.72,12.47
Q4 41992,Mable  Lindsey,West,Sunbell,0,1,12.42,25.00,25.00,12.58
Q4 41616,Pauline  Beck,West,Bellen,0,3,11.37,22.95,68.85,34.74
Q1 41706,Colleen  Warren,West,Carlota,0,2,10.25,22.95,45.90,25.40
Q4 41962,Della  Jensen,East,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 41970,Shari  Silva,South,Carlota,0,1,10.25,22.95,22.95,12.70
Q4 41601,Brooke  Horton,MidWest,Carlota,0.03,2,10.25,22.95,44.75,24.25
Q2 41777,Dan  Peterson,MidWest,Sunset,0.03,1,13.50,23.50,22.80,9.30
Q4 41987,Andrew  Meyer,West,Bellen,0.01,1,11.37,22.95,22.72,11.35
Q3 41849,Brooke  Horton,MidWest,Carlota,0.02,2,10.25,22.95,44.98,24.48
Q4 41967,Joey  Wong,West,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 41989,Lynette  Brewer,MidWest,Sunbell,0,3,12.42,25.00,75.00,37.74
Q4 41636,Max  Rodgers,West,Sunshine,0.02,2,10.24,19.95,39.10,18.62
Q2 41763,Allan  Ramos,MidWest,Quad,0,3,27.00,34.00,102.00,21.00
Q1 41350,Brooke  Horton,MidWest,Sunset,0.03,1,13.50,23.50,22.80,9.30
Q4 41609,Marion  Glover,East,Quad,0,3,27.00,34.00,102.00,21.00
Q4 41613,Kyle  Carr,MidWest,Sunbell,0,2,12.42,25.00,50.00,25.16
Q4 41953,Andrew  Meyer,West,Majectic Beaut,0.03,3,13.00,30.00,87.75,48.75
Q4 41586,Edwin  Malone,East,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 41589,Christina  Fuller,West,Sunshine,0,1,10.24,19.95,19.95,9.71
Q4 41621,Salvador  Bass,West,Carlota,0.03,3,10.25,22.95,66.78,36.03
Q4 41602,Donna  Reid,West,Sunset,0,3,13.50,23.50,70.50,30.00
Q4 41617,Max  Rodgers,West,Quad,0.01,2,27.00,34.00,67.32,13.32
Q4 41558,Beth  Tucker,West,Carlota,0,1,10.25,22.95,22.95,12.70
Q4 41636,Marian  Hill,South,Sunshine,0,1,10.24,19.95,19.95,9.71
Q1 41711,Felicia  Jennings,West,Aspen,0.01,2,12.00,21.00,41.58,17.58
Q4 41590,Pauline  Beck,West,Sunbell,0,2,12.42,25.00,50.00,25.16
Q4 41974,Colleen  Warren,West,Quad,0.03,1,27.00,34.00,33.15,6.15
Q4 41949,Shari  Silva,South,Quad,0.01,2,27.00,34.00,67.32,13.32
Q4 41586,Sylvester  Morales,West,FlatTop,0.02,2,17.20,27.50,54.18,19.78
Q4 41590,Ben  Perez,West,Bellen,0,3,11.37,22.95,68.85,34.74
Q4 41956,Colleen  Warren,West,Quad,0.03,1,27.00,34.00,33.15,6.15
Q4 42004,Lula  Daniels,MidWest,Sunset,0,1,13.50,23.50,23.50,10.00
Q4 41982,Robert  Munoz,MidWest,Doublers,0,2,64.32,79.95,159.90,31.26
Q1 41344,Robert  Munoz,MidWest,V-Rang,0,3,10.23,19.00,57.00,26.31
Q4 41990,Robert  Munoz,MidWest,Quad,0.02,2,27.00,34.00,66.64,12.64
Q2 41372,Christy  Olson,West,Crested Beaut,0.02,3,16.00,25.00,73.50,25.50
Q4 41993,Sonya  Mullins,East,Sunshine,0.02,2,10.24,19.95,39.10,18.62
Q4 41628,Arturo  Francis,East,Quad,0,2,27.00,34.00,68.00,14.00
Q4 41956,Elaine  Ellis,South,Bellen,0.02,2,11.37,22.95,45.21,22.47
Q4 41955,Mable  Lindsey,West,Bellen,0.03,1,11.37,22.95,22.26,10.89
Q3 41889,Ernest  Davis,West,Sunset,0,2,13.50,23.50,47.00,20.00
Q4 41991,Salvador  Bass,West,Sunshine,0,1,10.24,19.95,19.95,9.71
Q4 41582,Kyle  Carr,MidWest,Bellen,0,2,11.37,22.95,45.90,23.16
Q1 41354,Edwin  Malone,East,Aspen,0.03,4,12.00,21.00,81.90,33.90
Q4 41635,Johanna  Boone,South,Bellen,0.02,3,11.37,22.95,67.82,33.71
Q4 41622,Christina  Fuller,West,Sunbell,0,3,12.42,25.00,75.00,37.74
Q4 41580,Robert  Munoz,MidWest,Aspen,0,4,12.00,21.00,84.00,36.00
Q1 41320,Lynette  Brewer,MidWest,FlatTop,0.02,2,17.20,27.50,53.90,19.50
Q2 41734,Don  Gonzales,South,Sunshine,0,1,10.24,19.95,19.95,9.71
Q3 41856,Herman  Williams,East,Sunbell,0,1,12.42,25.00,25.00,12.58
Q4 41953,Drew  Rogers,MidWest,Sunset,0,4,13.50,23.50,94.00,40.00
Q2 41778,Shari  Silva,South,Bellen,0,1,11.37,22.95,22.95,11.58
Q4 41614,Lorraine  Gibson,East,Sunbell,0.02,3,12.42,25.00,73.88,36.62
Q4 41981,Mable  Lindsey,West,Quad,0.01,1,27.00,34.00,33.66,6.66
Q4 42003,Lula  Daniels,MidWest,Quad,0.03,2,27.00,34.00,65.96,11.96
Q2 41761,Salvador  Bass,West,Quad,0,1,27.00,34.00,34.00,7.00
Q4 41598,Trevor  Jones,West,Quad,0,2,27.00,34.00,68.00,14.00
Q1 41669,Ruben  Nunez,West,Crested Beaut,0.02,1,16.00,25.00,24.63,8.63
Q4 41982,Robert  Munoz,MidWest,Sunbell,0,2,12.42,25.00,50.00,25.16
Q4 41611,Johanna  Boone,South,Bellen,0,2,11.37,22.95,45.90,23.16
Q4 41580,Lynette  Brewer,MidWest,Bellen,0,3,11.37,22.95,68.85,34.74
Q4 41966,Max  Rodgers,West,Crested Beaut,0.03,2,16.00,25.00,48.75,16.75
Q4 41593,Cecilia  Manning,South,Quad,0,1,27.00,34.00,34.00,7.00
Q1 41665,Rachel  Gomez,MidWest,Carlota,0.03,1,10.25,22.95,22.26,12.01
Q1 41291,Trevor  Jones,West,Crested Beaut,0.02,2,16.00,25.00,49.00,17.00
Q4 41626,Lula  Daniels,MidWest,Doublers,0.02,3,64.32,79.95,235.05,42.09
Q4 41611,Kyle  Carr,MidWest,Quad,0.02,3,27.00,34.00,100.47,19.47
Q4 41999,Max  Rodgers,West,Sunset,0.03,2,13.50,23.50,45.83,18.83
Q4 41594,Lynette  Brewer,MidWest,Quad,0,3,27.00,34.00,102.00,21.00
Q4 41638,Andrew  Meyer,West,Quad,0.01,3,27.00,34.00,100.98,19.98
Q4 41583,Lula  Daniels,MidWest,Sunset,0.02,4,13.50,23.50,92.12,38.12
Q4 41584,Christina  Fuller,West,Sunbell,0,1,12.42,25.00,25.00,12.58
Q4 41620,Billie  Chandler,MidWest,Sunbell,0,2,12.42,25.00,50.00,25.16
Q4 41629,Shari  Silva,South,Bellen,0.02,3,11.37,22.95,67.82,33.71
Q1 41681,Dan  Peterson,MidWest,Aspen,0.03,2,12.00,21.00,40.74,16.74
Q4 42000,Lee  Mack,MidWest,Sunbell,0,3,12.42,25.00,75.00,37.74
Q4 41985,Marion  Glover,East,Aspen,0.02,2,12.00,21.00,41.16,17.16
Q4 41997,Cassandra  Franklin,MidWest,Crested Beaut,0.02,2,16.00,25.00,49.00,17.00
Q4 41975,Brooke  Horton,MidWest,Majectic Beaut,0,3,13.00,30.00,90.00,51.00
Q4 41932,Brooke  Horton,MidWest,Doublers,0,2,64.32,79.95,159.90,31.26
Q1 41658,Ben  Perez,West,Majectic Beaut,0.03,2,13.00,30.00,58.20,32.20
Q4 41993,Ben  Perez,West,Sunbell,0,3,12.42,25.00,75.00,37.74
Q4 41938,Andrew  Meyer,West,Sunshine,0,1,10.24,19.95,19.95,9.71
Q2 41413,Bobbie  Ryan,East,Sunbell,0.02,2,12.42,25.00,49.00,24.16
Q1 41279,Shari  Silva,South,Sunbell,0,2,12.42,25.00,50.00,25.16
Q2 41413,Jaime  Pearson,MidWest,Bellen,0.01,1,11.37,22.95,22.72,11.35
Q4 41628,Ivan  Adkins,West,Majectic Beaut,0.02,3,13.00,30.00,88.20,49.20
Q1 41719,Cecilia  Manning,South,Crested Beaut,0,2,16.00,25.00,50.00,18.00
Q4 41981,Brooke  Horton,MidWest,FlatTop,0.01,2,17.20,27.50,54.45,20.05
Q4 41616,Andrew  Meyer,West,Sunset,0,2,13.50,23.50,47.00,20.00
Q4 41978,Brooke  Horton,MidWest,Quad,0.02,3,27.00,34.00,99.96,18.96
Q4 41986,Felicia  Jennings,West,Crested Beaut,0.02,3,16.00,25.00,73.50,25.50
Q4 41625,Rachel  Gomez,MidWest,Sunshine,0.03,2,10.24,19.95,38.90,18.42
Q4 41631,Mable  Lindsey,West,Crested Beaut,0.01,3,16.00,25.00,74.25,26.25
Q4 41961,Lance  Yates,MidWest,Sunshine,0,3,10.24,19.95,59.85,29.13
Q4 41638,Lynette  Brewer,MidWest,Majectic Beaut,0.02,1,13.00,30.00,29.40,16.40
Q4 41613,Don  Gonzales,South,Carlota,0.03,2,10.25,22.95,44.75,24.25
Q4 41974,Robert  Munoz,MidWest,Carlota,0,2,10.25,22.95,45.90,25.40
Q4 41968,Shari  Silva,South,Crested Beaut,0,3,16.00,25.00,75.00,27.00
Q4 41942,Fernando  Rowe,West,Sunbell,0,3,12.42,25.00,75.00,37.74
Q3 41476,Marion  Glover,East,Bellen,0.02,3,11.37,22.95,67.82,33.71
Q1 41684,Tiffany  May,West,Sunshine,0,3,10.24,19.95,59.85,29.13
Q4 41992,Brooke  Horton,MidWest,Majectic Beaut,0.03,2,13.00,30.00,58.50,32.50
Q4 41627,Della  Jensen,East,Sunbell,0,3,12.42,25.00,75.00,37.74
Q4 41580,Della  Jensen,East,V-Rang,0.03,1,10.23,19.00,18.43,8.20
Q1 41358,Tiffany  May,West,Crested Beaut,0.02,3,16.00,25.00,73.50,25.50
Q4 41970,Trevor  Jones,West,Quad,0,1,27.00,34.00,34.00,7.00
Q4 41953,Cindy  Becker,South,Quad,0.02,3,27.00,34.00,100.47,19.47
Q4 41616,Shari  Silva,South,Sunbell,0,1,12.42,25.00,25.00,12.58
Q4 41968,Isabel  Cross,East,Sunbell,0.02,3,12.42,25.00,73.50,36.24
Q4 41628,Ruben  Nunez,West,Majectic Beaut,0.03,3,13.00,30.00,87.75,48.75
Q4 41623,Donna  Reid,West,Sunshine,0.01,1,10.24,19.95,19.75,9.51
Q4 41949,Ernest  Davis,West,Sunshine,0.02,1,10.24,19.95,19.65,9.41
Q4 41592,Cindy  Becker,South,Sunset,0.02,3,13.50,23.50,69.44,28.94
Q4 41959,Patty  Thompson,West,Quad,0,3,27.00,34.00,102.00,21.00
Q3 41835,Della  Jensen,East,Sunbell,0.01,1,12.42,25.00,24.75,12.33
Q4 41637,Cindy  Becker,South,Quad,0.03,2,27.00,34.00,66.30,12.30
Q1 41683,Max  Rodgers,West,Quad,0.02,2,27.00,34.00,66.98,12.98
Q3 41483,Joey  Wong,West,Sunbell,0.03,3,12.42,25.00,73.13,35.87
Q4 41971,Ben  Perez,West,Quad,0.03,2,27.00,34.00,66.30,12.30
Q4 41980,Bethany  Pena,MidWest,Quad,0.03,1,27.00,34.00,32.98,5.98
Q4 41612,Blake  Bridges,South,Sunbell,0.02,1,12.42,25.00,24.63,12.21
Q4 41997,Sylvester  Morales,West,Sunset,0.03,2,13.50,23.50,45.59,18.59
Q4 41954,Isabel  Cross,East,Aspen,0.03,2,12.00,21.00,40.95,16.95
Q4 41989,Robert  Munoz,MidWest,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 41955,Jenny  Garcia,MidWest,Crested Beaut,0.03,2,16.00,25.00,48.50,16.50
Q4 41622,Christina  Fuller,West,Quad,0,3,27.00,34.00,102.00,21.00
Q4 41597,Ivan  Adkins,West,Carlota,0,4,10.25,22.95,91.80,50.80
Q2 41783,Drew  Rogers,MidWest,Carlota,0.03,2,10.25,22.95,44.75,24.25
Q4 41635,Patty  Thompson,West,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 41600,Bethany  Pena,MidWest,Quad,0,2,27.00,34.00,68.00,14.00
Q4 41985,Brooke  Horton,MidWest,Crested Beaut,0.03,3,16.00,25.00,73.13,25.13
Q2 41394,Jenny  Garcia,MidWest,Quad,0,2,27.00,34.00,68.00,14.00
Q4 41607,Billie  Chandler,MidWest,Sunset,0,2,13.50,23.50,47.00,20.00
Q4 41634,Bethany  Pena,MidWest,Doublers,0,2,64.32,79.95,159.90,31.26
Q1 41320,Pauline  Beck,West,Sunbell,0.03,3,12.42,25.00,72.75,35.49
Q4 41602,Johanna  Boone,South,Quad,0,2,27.00,34.00,68.00,14.00
Q2 41384,Bernadette  Page,MidWest,Carlota,0,1,10.25,22.95,22.95,12.70
Q4 41989,Allan  Ramos,MidWest,Carlota,0,1,10.25,22.95,22.95,12.70
Q4 42003,Brooke  Horton,MidWest,Sunbell,0.01,3,12.42,25.00,74.25,36.99
Q4 41620,Bethany  Pena,MidWest,Doublers,0,4,64.32,79.95,319.80,62.52
Q4 41951,Tracy  Reed,MidWest,Sunbell,0,2,12.42,25.00,50.00,25.16
Q4 41630,Ben  Perez,West,Bellen,0.01,1,11.37,22.95,22.72,11.35
Q4 41951,Rachel  Gomez,MidWest,Quad,0.01,3,27.00,34.00,100.98,19.98
Q4 41979,Dan  Peterson,MidWest,Bellen,0.03,2,11.37,22.95,44.75,22.01
Q1 41321,Ernest  Davis,West,Quad,0,2,27.00,34.00,68.00,14.00
Q4 41979,Allan  Ramos,MidWest,Doublers,0.02,2,64.32,79.95,157.50,28.86
Q4 41986,Christina  Fuller,West,Quad,0.02,1,27.00,34.00,33.49,6.49
Q4 41635,Cecilia  Manning,South,Sunshine,0,1,10.24,19.95,19.95,9.71
Q4 41987,Sandra  Floyd,MidWest,Doublers,0,3,64.32,79.95,239.85,46.89
Q4 41960,Iris  Underwood,West,Carlota,0.02,3,10.25,22.95,67.47,36.72
Q4 41966,Edwin  Malone,East,Carlota,0.03,2,10.25,22.95,44.52,24.02
Q4 41610,Christina  Fuller,West,Quad,0,2,27.00,34.00,68.00,14.00
Q4 41972,Woodrow  Colon,South,Sunbell,0.01,1,12.42,25.00,24.75,12.33
Q4 41608,Edwin  Malone,East,Majectic Beaut,0.03,1,13.00,30.00,29.25,16.25
Q4 42002,Shari  Silva,South,Majectic Beaut,0,3,13.00,30.00,90.00,51.00
Q1 41308,Joey  Wong,West,Aspen,0,2,12.00,21.00,42.00,18.00
Q4 41618,Christy  Olson,West,Doublers,0.03,3,64.32,79.95,232.65,39.69
Q4 41968,Patty  Thompson,West,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 41952,Isabel  Cross,East,Aspen,0.01,2,12.00,21.00,41.58,17.58
Q4 41631,Isabel  Cross,East,Sunbell,0.02,2,12.42,25.00,49.25,24.41
Q3 41543,Arturo  Francis,East,Bellen,0,1,11.37,22.95,22.95,11.58
